,I1,I2
12/31/2018,26.548727909047702,25.203999641635733
01/02/2019,23.80322267921192,23.671826607267853
01/03/2019,23.407841140818878,23.503325567189737
01/04/2019,20.99193213493291,21.495790004991573
01/07/2019,20.621974927230113,21.07571204309925
01/08/2019,19.991300797705122,20.59638027260116
01/09/2019,19.560700302892887,20.290627973311285
01/10/2019,19.25604900934616,20.13853510952906
01/11/2019,18.07952964080052,19.295260548052713
01/14/2019,18.59280900106669,19.447167929146627
01/15/2019,17.559052607280666,18.627141204105907
01/16/2019,16.400480205779107,17.53325439029526
01/17/2019,16.045145153841354,17.271637238423164
01/18/2019,14.931614707123716,16.308414242852734
01/21/2019,15.941588927468054,16.953491570047483
01/22/2019,16.537809529171582,17.48779845817635
01/23/2019,16.9128415377502,17.929774363443965
01/24/2019,15.958171978120367,17.16319883768793
01/25/2019,15.043801575860526,16.541326002392378
01/28/2019,16.291257513072857,17.627440072359374
