AXP,99.63
AAPL,171.51
BA,343.22
CAT,167.06
CSCO,42.56
CVX,131.19
XOM,89
GE,16.13
GS,268.14
HD,207.23
IBM,167.34
INTC,50.08
JNJ,145.33
KO,48.53
JPM,116.32
MCD,178.36
MMM,258.63
MRK,62.04
MSFT,94.06
NKE,68.04
PFE,39.01
PG,87.73
TRV,149.42
UNH,248.47
UTX,137.98
VZ,54.72
V,126.32
WMT,108.39
DIS,112.19
DWDP,77.02
