tick,return,percentile
ELTK,3.227941176470588,1.0
OBLN,1.8828828828828827,0.9997589199614272
NOVN,1.3043478260869565,0.9995178399228544
CTHR,1.0,0.9992767598842816
ASCMA,0.9545454545454546,0.9990356798457087
NETS,0.9267015706806285,0.9987945998071359
GMO,0.9121951219512197,0.9985535197685632
WKHS,0.834763948497854,0.9983124397299904
ATOM,0.7925925925925925,0.9980713596914176
IOVA,0.6550458715596328,0.9978302796528448
HZN,0.6528301886792454,0.997589199614272
DGSE,0.6363636363636362,0.9973481195756991
ADVM,0.6074188562596601,0.9971070395371263
WPRT,0.5739644970414202,0.9968659594985535
RAVE,0.5660377358490567,0.9966248794599807
ASFI,0.517209183889997,0.9963837994214079
CFMS,0.5122950819672132,0.996142719382835
EVFM,0.5088607594936707,0.9959016393442623
AP,0.5016077170418007,0.9956605593056895
AKRX,0.49446494464944646,0.9954194792671167
XOMA,0.4891391794046662,0.9951783992285439
HYGS,0.48585485854858534,0.9949373191899711
VERI,0.47571189279732007,0.9946962391513983
CDLX,0.4563291139240506,0.9944551591128254
ATNX,0.4551863041289024,0.9942140790742526
MRTX,0.45253216088584924,0.9939729990356798
IDN,0.44637681159420284,0.993731918997107
GRVY,0.4243299630877868,0.9934908389585342
VTGN,0.42260310658810907,0.9932497589199615
SLNO,0.405,0.9930086788813887
KTOS,0.40213299874529507,0.9927675988428158
PIRS,0.3986710963455151,0.992526518804243
ROKU,0.3932287622301598,0.9922854387656702
SBOT,0.392156862745098,0.9920443587270974
AMBR,0.3893048128342247,0.9918032786885246
MDCA,0.3804878048780489,0.9915621986499518
MSON,0.37297297297297316,0.991321118611379
LIQT,0.3710526315789475,0.9910800385728061
ARWR,0.3705783267827065,0.9908389585342333
AQ,0.3683105981112278,0.9905978784956606
GFI,0.34417344173441733,0.9903567984570878
CTRL,0.3388009049773757,0.990115718418515
ODT,0.32615894039735105,0.9898746383799422
CRAY,0.32458143074581436,0.9896335583413693
AXSM,0.32285714285714273,0.9893924783027965
BIOC,0.3222222222222222,0.9891513982642237
STAR,0.3181580628302654,0.9889103182256509
ATXI,0.31140350877193,0.9886692381870781
Z,0.3015774822146613,0.9884281581485053
AVP,0.2907801418439717,0.9881870781099324
CY,0.2898889538281708,0.9879459980713597
ECPG,0.28477546549835697,0.9877049180327869
CMRX,0.2846153846153845,0.9874638379942141
ISSC,0.28066480733109467,0.9872227579556413
AVDL,0.2704918032786885,0.9869816779170685
PODD,0.2699814126394051,0.9867405978784957
MAXR,0.26819923371647514,0.9864995178399228
BTN,0.2677824267782425,0.98625843780135
QIWI,0.2662582927577204,0.9860173577627772
NVEE,0.26070101760620257,0.9857762777242044
CIR,0.2574726250369932,0.9855351976856316
GOL,0.255129348795718,0.9852941176470589
PFNX,0.2541133455210238,0.9850530376084861
ATRO,0.2535725144420795,0.9848119575699132
BPL,0.25032951807598236,0.9845708775313404
CYTK,0.24852071005917176,0.9843297974927676
VERU,0.24647887323943674,0.9840887174541948
ARRY,0.24534986713906126,0.983847637415622
AU,0.244933920704846,0.9836065573770492
TGS,0.2433962264150944,0.9833654773384763
OESX,0.2422360248447204,0.9831243972999035
EVLV,0.24153005464480892,0.9828833172613307
STRM,0.23893805309734506,0.982642237222758
S,0.23722627737226265,0.9824011571841852
CLMT,0.23582089552238794,0.9821600771456124
HIIQ,0.23469387755102056,0.9819189971070396
SID,0.23303816978452052,0.9816779170684667
SBGI,0.23073038028443849,0.9814368370298939
PVG,0.22990126939351208,0.9811957569913211
XON,0.22274881516587697,0.9809546769527483
POWL,0.21710549174119387,0.9807135969141755
SEDG,0.21709323583180984,0.9804725168756027
PBHC,0.2156412507597758,0.9802314368370298
ENPH,0.2150038669760248,0.9799903567984571
PDVW,0.2142676448267138,0.9797492767598843
SLGL,0.21327683615819204,0.9795081967213115
GSL,0.21090909090909093,0.9792671166827387
GSB,0.21033824991268357,0.9790260366441659
VRAY,0.20974889217134418,0.9787849566055931
NAOV,0.20954560313828052,0.9785438765670202
CECE,0.20893561103810754,0.9783027965284474
SEAS,0.20861423220973796,0.9780617164898746
PRTY,0.20710973724884085,0.9778206364513018
AGI,0.20601851851851838,0.977579556412729
BMA,0.2057608039044596,0.9773384763741563
CHKE,0.20554909936083665,0.9770973963355835
WAIR,0.20525059665871104,0.9768563162970106
IOTS,0.20355411954765756,0.9766152362584378
PAGS,0.20262954369682906,0.976374156219865
OZM,0.20213178035716672,0.9761330761812922
GNCA,0.20181974494913324,0.9758919961427194
VSLR,0.20109689213893978,0.9756509161041466
NMM,0.1901522709637109,0.9754098360655737
CPIX,0.188785046728972,0.9751687560270009
EHTH,0.18602664844550754,0.9749276759884281
PRPL,0.18531468531468542,0.9746865959498554
ITI,0.1839080459770117,0.9744455159112826
ARNA,0.18334058286211397,0.9742044358727098
HEI,0.18233590733590743,0.973963355834137
PYDS,0.18170040485829952,0.9737222757955641
HSC,0.18152866242038201,0.9734811957569913
VGZ,0.18146785776843588,0.9732401157184185
CYRX,0.1811846689895471,0.9729990356798457
MELI,0.1791645071006529,0.9727579556412729
TNAV,0.17886178861788604,0.9725168756027001
NVCR,0.17825112107623298,0.9722757955641272
TSS,0.17814960629921273,0.9720347155255545
QRHC,0.17727272727272703,0.9717936354869817
PTSI,0.17666666666666653,0.9715525554484089
LGL,0.1762426657810252,0.9713114754098361
KNSL,0.17619580581968508,0.9710703953712633
KL,0.17582417582417587,0.9708293153326905
SDPI,0.17391304347826098,0.9705882352941176
ASPN,0.1724137931034484,0.9703471552555448
AMTX,0.1707317073170731,0.970106075216972
PAM,0.17033976124885197,0.9698649951783992
AXU,0.16831683168316824,0.9696239151398264
XENE,0.1681715575620768,0.9693828351012537
KGC,0.1672131147540985,0.9691417550626809
EPZM,0.16624685138539053,0.968900675024108
QTRX,0.16531895777178796,0.9686595949855352
SNCR,0.16446124763705106,0.9684185149469624
BVSN,0.1641443538998837,0.9681774349083896
AZUL,0.16328871892925445,0.9679363548698168
FATE,0.16317991631799167,0.967695274831244
ELP,0.16301239275500468,0.9674541947926711
ENSV,0.16279069767441867,0.9672131147540983
BW,0.161558292752793,0.9669720347155255
VG,0.1614844533600801,0.9667309546769528
COTY,0.16051602086438144,0.96648987463838
LGCY,0.16024518388791598,0.9662487945998072
CVCO,0.1592920353982299,0.9660077145612344
CLIR,0.1589403973509933,0.9657666345226615
CSU,0.15856777493606145,0.9655255544840887
SBGL,0.15669515669515666,0.9652844744455159
BLDP,0.15634218289085533,0.9650433944069431
MDCO,0.15601023017902804,0.9648023143683703
CDNA,0.1557434813248766,0.9645612343297975
USAT,0.15547703180212014,0.9643201542912246
EVRI,0.15485829959514152,0.9640790742526519
OHRP,0.15384615384615374,0.9638379942140791
ISR,0.15358974358974353,0.9635969141755063
HCHC,0.1499999999999999,0.9633558341369335
SKY,0.14927468413664013,0.9631147540983607
RNR,0.14846010415996913,0.9628736740597879
EYEG,0.14814814814814814,0.962632594021215
INFU,0.14780600461893756,0.9623915139826422
DCO,0.14776974831796652,0.9621504339440694
MICT,0.1470588235294117,0.9619093539054966
OBCI,0.14700692276367588,0.9616682738669238
ARQL,0.14649681528662417,0.9614271938283511
SWCH,0.14595395803418398,0.9611861137897783
SRT,0.14537444933920707,0.9609450337512054
KMPH,0.1450381679389312,0.9607039537126326
MOH,0.14500986193293874,0.9604628736740598
RESI,0.14386317907444668,0.960221793635487
ERIE,0.14362494678586635,0.9599807135969142
USAU,0.14294642857142859,0.9597396335583414
CVRS,0.14220183486238525,0.9594985535197685
NTRA,0.14212678936605316,0.9592574734811957
MJCO,0.14068441064638781,0.9590163934426229
GSV,0.1399999999999999,0.9587753134040502
CHRS,0.1388716676999382,0.9585342333654774
ESPR,0.1387459054749649,0.9582931533269046
DZSI,0.13793103448275867,0.9580520732883318
CVU,0.13744075829383884,0.9578109932497589
HWBK,0.13578529501577719,0.9575699132111861
ANIK,0.13457008244994118,0.9573288331726133
DQ,0.1340179041600844,0.9570877531340405
FSTR,0.1326815642458099,0.9568466730954677
SE,0.1323886639676113,0.9566055930568949
ICAD,0.13193812556869866,0.956364513018322
QUOT,0.1310418904403865,0.9561234329797492
MTEM,0.1298701298701299,0.9558823529411765
CHMA,0.12984822934232731,0.9556412729026037
XTNT,0.12903225806451601,0.9554001928640309
DAC,0.1276400367309456,0.9551591128254581
EMCI,0.1276105276967383,0.9549180327868853
UAMY,0.12698113207547168,0.9546769527483124
ARMK,0.12697588271610982,0.9544358727097396
TRMD,0.12656641604010033,0.9541947926711668
MAG,0.12646121147715195,0.953953712632594
AIG,0.12628205128205128,0.9537126325940212
LAWS,0.12419700214132767,0.9534715525554484
AEM,0.12375211247974627,0.9532304725168756
AG,0.12369337979094075,0.9529893924783028
NK,0.1217391304347828,0.95274831243973
NGL,0.12102162894412416,0.9525072324011572
LAZY,0.12080434782608718,0.9522661523625844
BYFC,0.11999999999999988,0.9520250723240116
ADES,0.11844384081089454,0.9517839922854388
IMKTA,0.11835205992509357,0.9515429122468659
NEM,0.1172787409139584,0.9513018322082931
BYSI,0.11724137931034484,0.9510607521697203
AEY,0.1171875,0.9508196721311475
CME,0.11689465888298334,0.9505785920925748
MARPS,0.1160714285714286,0.950337512054002
HNRG,0.11561866125760645,0.9500964320154291
ITRI,0.11520558572536843,0.9498553519768563
PAR,0.1148208469055374,0.9496142719382835
TTGT,0.11386430678466075,0.9493731918997107
SPOK,0.11383381599465348,0.9491321118611379
SCKT,0.11353711790392995,0.9488910318225651
GTXI,0.11304347826086958,0.9486499517839923
KPTI,0.11203319502074693,0.9484088717454194
AGYS,0.1119915478077127,0.9481677917068466
IRWD,0.1119766309639727,0.9479267116682739
PINC,0.11130952380952386,0.9476856316297011
IIN,0.11091779034362781,0.9474445515911283
QURE,0.11084378759236979,0.9472034715525555
EVC,0.11070110701106994,0.9469623915139826
