tick,return,percentile
OBLN,1.9279279279279278,1.0
ASCMA,1.0757575757575757,0.9997589780670041
NOVN,1.0086956521739134,0.9995179561340082
CTHR,0.7168141592920354,0.9992769342010123
WKHS,0.7060085836909871,0.9990359122680164
VERI,0.6013400335008376,0.9987948903350204
AKRX,0.5793357933579337,0.9985538684020245
RAVE,0.5723270440251571,0.9983128464690287
GMO,0.5717073170731708,0.9980718245360328
MDCA,0.5609756097560978,0.9978308026030369
IOVA,0.5256880733944953,0.997589780670041
PRTO,0.5127396263042949,0.9973487587370451
HZN,0.4830188679245284,0.9971077368040492
ENT,0.466923076923077,0.9968667148710533
ASFI,0.4641386920171455,0.9966256929380574
WPRT,0.4615384615384617,0.9963846710050615
GRVY,0.4569090033702454,0.9961436490720655
BIOC,0.4444444444444444,0.9959026271390696
AXSM,0.4337142857142857,0.9956616052060737
ADVM,0.4312210200927358,0.9954205832730778
AMTX,0.42682926829268286,0.9951795613400819
ATOM,0.42222222222222205,0.9949385394070861
ATNX,0.4149043303121853,0.9946975174740902
CLMT,0.4029850746268657,0.9944564955410943
BW,0.4018905757662561,0.9942154736080984
VTGN,0.39260846277450456,0.9939744516751025
AP,0.38906752411575574,0.9937334297421065
AMBR,0.38716577540106956,0.9934924078091106
XOMA,0.3861625100563155,0.9932513858761147
CFMS,0.3811475409836067,0.9930103639431188
CDLX,0.379746835443038,0.9927693420101229
AQ,0.36935991605456464,0.992528320077127
ROKU,0.366982450691101,0.9922872981441311
DRRX,0.3510658366345971,0.9920462762111352
CRAY,0.34550989345509886,0.9918052542781393
CTRL,0.34332579185520373,0.9915642323451435
CMRX,0.3423076923076924,0.9913232104121475
RGLS,0.32793369749481993,0.9910821884791516
MAXR,0.3275862068965518,0.9908411665461557
PFNX,0.32541133455210236,0.9906001446131598
DMRC,0.32512520868113515,0.9903591226801639
ZYNE,0.3207207207207208,0.990118100747168
CATS,0.31680618158403084,0.9898770788141721
FTFT,0.3134745762711866,0.9896360568811762
ECPG,0.3110624315443591,0.9893950349481803
VSLR,0.3089579524680075,0.9891540130151844
Z,0.30683575626353243,0.9889129910821884
BTN,0.30543933054393313,0.9886719691491925
NVEE,0.2963979970925539,0.9884309472161966
ATRO,0.29431438127090304,0.9881899252832008
ISSC,0.2920484945073709,0.9879489033502049
NMM,0.28488073283550497,0.987707881417209
INS,0.2839987017202208,0.9874668594842131
KMPH,0.28244274809160297,0.9872258375512172
POWL,0.28207800871396094,0.9869848156182213
KTOS,0.2816813048933502,0.9867437936852254
PRTY,0.2782071097372487,0.9865027717522294
SNCR,0.277882797731569,0.9862617498192335
SE,0.2753036437246963,0.9860207278862376
QIWI,0.27499420348389325,0.9857797059532417
CHRS,0.2746435213887166,0.9855386840202458
PTN,0.2727272727272727,0.9852976620872499
HCHC,0.2727272727272725,0.985056640154254
HDSN,0.2705882352941178,0.9848156182212582
VRAY,0.2703101920236337,0.9845745962882623
TNAV,0.26991869918699174,0.9843335743552664
USAT,0.2685512367491165,0.9840925524222705
MSON,0.2642642642642645,0.9838515304892745
OESX,0.26086956521739113,0.9836105085562786
SID,0.26023754117682607,0.9833694866232827
SEDG,0.25594149908592323,0.9831284646902868
OZM,0.2542241575059774,0.9828874427572909
MKGI,0.2538461538461536,0.982646420824295
BPL,0.25308827406095036,0.9824053988912991
CYTK,0.2520710059171598,0.9821643769583032
SBGI,0.2509142666926847,0.9819233550253073
DAC,0.25068870523415954,0.9816823330923115
SRT,0.24522760646108677,0.9814413111593155
ODT,0.24448123620309037,0.9812002892263196
DCO,0.2439571392972837,0.9809592672933237
MRTX,0.2437713727405959,0.9807182453603278
PODD,0.24244888475836435,0.9804772234273319
QRHC,0.24090909090909074,0.980236201494336
LGL,0.23879109930255726,0.9799951795613401
AVP,0.23758865248226968,0.9797541576283442
SGRP,0.23618320610687005,0.9795131356953483
VERU,0.2359154929577465,0.9792721137623523
GPRO,0.2350936967632027,0.9790310918293564
EVFM,0.23037974683544316,0.9787900698963605
IOTS,0.22940226171243938,0.9785490479633646
BLDP,0.2271386430678466,0.9783080260303688
NAOV,0.22589081399150035,0.9780670040973729
GWGH,0.22546634225466344,0.977825982164377
CIR,0.2243267238828055,0.9775849602313811
ARWR,0.22346996069623803,0.9773439382983852
OCX,0.22277227722772275,0.9771029163653893
AVDL,0.22131147540983598,0.9768618944323934
LIQT,0.2210526315789474,0.9766208724993974
CECE,0.21944809461235204,0.9763798505664015
S,0.21715328467153272,0.9761388286334056
TCON,0.2168411185752226,0.9758978067004097
ENSV,0.21465116279069774,0.9756567847674138
IDN,0.21449275362318843,0.9754157628344179
USAU,0.2142857142857142,0.975174740901422
ITI,0.21379310344827607,0.9749337189684262
ATAI,0.21301775147928992,0.9746926970354303
FBIO,0.2124999999999999,0.9744516751024344
FLXN,0.21180880974695415,0.9742106531694384
CTXR,0.21052631578947367,0.9739696312364425
COTY,0.2103297317436661,0.9737286093034466
GPX,0.21010425020048107,0.9734875873704507
PIRS,0.2093023255813955,0.9732465654374548
PAGS,0.20726991492652735,0.9730055435044589
CVRS,0.20642201834862361,0.972764521571463
WAIR,0.2040572792362767,0.9725234996384671
TRMD,0.20300751879699241,0.9722824777054712
KPTI,0.20124481327800825,0.9720414557724752
SPOK,0.20114401511939572,0.9718004338394793
EVLV,0.19945355191256842,0.9715594119064835
HYGS,0.19926199261992616,0.9713183899734876
ATHX,0.19867549668874185,0.9710773680404917
CHKE,0.19843114468332357,0.9708363461074958
STRM,0.19796460176991149,0.9705953241744999
GSL,0.19789090909090912,0.970354302241504
VG,0.19759277833500488,0.9701132803085081
PRPL,0.1975524475524475,0.9698722583755122
STKL,0.196629213483146,0.9696312364425163
CPIX,0.1962616822429908,0.9693902145095203
VIVE,0.196078431372549,0.9691491925765244
ESPR,0.19443144595226936,0.9689081706435285
AGYS,0.1933438985736926,0.9686671487105326
CYRX,0.18954703832752617,0.9684261267775368
PMTS,0.18858688651294608,0.9681851048445409
VTVT,0.18831168831168843,0.967944082911545
HNRG,0.18661257606490866,0.9677030609785491
TZOO,0.1860609831985065,0.9674620390455532
GEOS,0.18408360128617374,0.9672210171125573
PAM,0.18089990817263524,0.9669799951795613
MELI,0.18065719912926292,0.9667389732465654
ISR,0.17948717948717952,0.9664979513135695
SWCH,0.17930427532539728,0.9662569293805736
HIIQ,0.1785714285714286,0.9660159074475777
TGS,0.17830188679245285,0.9657748855145818
MBII,0.17763157894736836,0.9655338635815859
ENPH,0.177107501933488,0.96529284164859
OBCI,0.17415501561015323,0.9650518197155942
BMA,0.1738788581948585,0.9648107977825983
SAFE,0.17309236947791184,0.9645697758496024
CCO,0.17303370786516847,0.9643287539166064
ARNA,0.17290126141800788,0.9640877319836105
TTGT,0.1716814159292035,0.9638467100506146
GTS,0.17042497831743275,0.9636056881176187
CDNA,0.17019027484143767,0.9633646661846228
RETA,0.1696542893725992,0.9631236442516269
OHRP,0.1692307692307693,0.962882622318631
MTCH,0.16901175302102311,0.9626416003856351
NTRA,0.1682004089979552,0.9624005784526392
DHX,0.16666666666666674,0.9621595565196432
AVXL,0.16343042071197433,0.9619185345866473
RESI,0.16297786720321938,0.9616775126536515
EVC,0.16236162361623618,0.9614364907206556
NSSC,0.1623403378656778,0.9611954687876597
GSB,0.16197845302383063,0.9609544468546638
SKY,0.16050538137576043,0.9607134249216679
SELB,0.1603773584905659,0.960472402988672
SEMG,0.15913605390862684,0.9602313810556761
LMB,0.15909090909090895,0.9599903591226802
TEAM,0.1581506283827172,0.9597493371896842
LAWS,0.15784643621902728,0.9595083152566883
PTSI,0.1572916666666666,0.9592672933236924
HWBK,0.15656702744885154,0.9590262713906965
PCTI,0.1559829059829061,0.9587852494577006
ZS,0.15562661793817578,0.9585442275247047
IMKTA,0.15468164794007477,0.9583032055917089
PETQ,0.15372233400402413,0.958062183658713
CCLP,0.15259740259740262,0.9578211617257171
UEPS,0.15186246418338079,0.9575801397927212
NVCR,0.1515695067264573,0.9573391178597253
GNE,0.150884713501928,0.9570980959267293
BOSC,0.150390625,0.9568570739937334
SYNC,0.15032679738562083,0.9566160520607375
ESTE,0.14960629921259838,0.9563750301277416
ASPN,0.149425287356322,0.9561340081947457
ICAD,0.14831665150136475,0.9558929862617498
TDW,0.14830311483031133,0.9556519643287539
NAT,0.14811515378844708,0.955410942395758
ARQL,0.14808917197452232,0.9551699204627621
HSC,0.14695177434030948,0.9549288985297663
CLIR,0.14620478858889463,0.9546878765967703
PBHC,0.1459594936328914,0.9544468546637744
CLCT,0.14593918549206597,0.9542058327307785
FANH,0.14505564560957507,0.9539648107977826
LPLA,0.14477877448020604,0.9537237888647867
TNK,0.14406779661016955,0.9534827669317908
NGL,0.1438530266822935,0.9532417449987949
INSG,0.1425576519916143,0.953000723065799
SPRO,0.1419294990723563,0.9527597011328031
CSV,0.1417627551452767,0.9525186791998072
KNSL,0.14175778628932623,0.9522776572668112
SLP,0.13972234661889837,0.9520366353338153
FBM,0.13897058823529407,0.9517956134008195
TLRA,0.13869625520110973,0.9515545914678236
FRTA,0.13859275053304887,0.9513135695348277
MAYS,0.137835135135135,0.9510725476018318
OMP,0.1369986674117698,0.9508315256688359
MYSZ,0.13669064748201443,0.95059050373584
QHC,0.13471502590673579,0.9503494818028441
EVRI,0.13461538461538458,0.9501084598698482
EVBG,0.13237311385459516,0.9498674379368522
INFU,0.13163972286374137,0.9496264160038563
ARRY,0.1315323294951285,0.9493853940708604
SPWR,0.13055555555555554,0.9491443721378645
IIN,0.13049151805132664,0.9489033502048686
HAE,0.13014227418109625,0.9486623282718727
TIPT,0.13000508683961898,0.9484213063388769
HRTG,0.12747252747252746,0.948180284405881
ZIXI,0.12636695018225996,0.9479392624728851
NCR,0.12553041018387545,0.9476982405398892
FATE,0.12492528392109992,0.9474572186068932
BIOS,0.12435233160621761,0.9472161966738973
YPF,0.12408223201174762,0.9469751747409014
AIG,0.12307692307692308,0.9467341528079055
PAR,0.12174267100977199,0.9464931308749096
FSTR,0.12150837988826813,0.9462521089419137
SLGL,0.12146892655367236,0.9460110870089178
SNMP,0.12108666325533801,0.9457700650759219
FLY,0.1205387205387205,0.945529043142926
BLD,0.1195037904893177,0.94528802120993
EHTH,0.11940553467714388,0.9450469992769343
EMCI,0.119179999125399,0.9448059773439383
XENE,0.11738148984198649,0.9445649554109424
XTNT,0.11712903225806448,0.9443239334779465
AUTO,0.1163522012578615,0.9440829115449506
SUPV,0.11610956095894309,0.9438418896119547
PINC,0.11577380952380945,0.9436008676789588
UFCS,0.11471264313839669,0.9433598457459629
TAT,0.11443326991030167,0.943118823812967
PVG,0.11424541607898453,0.9428778018799711
